id,Country,City,Address,Latitude,Longitude
1,Sweden,Falun,6 Delaware Road,60.6036,15.626
2,Indonesia,Karangasem,4132 Monument Center,-6.8994,111.4873
3,Germany,Berlin,1298 Nancy Lane,52.5167,13.4
4,Poland,Karnice,372 Westridge Court,54.03001,15.05496
5,Japan,Tomioka,7614 Petterle Junction,36.25411,138.89813
6,Russia,Borok,7153 Stuart Place,58.06532,38.2362
7,New Zealand,Pukekohe East,695 Oxford Hill,-37.2,174.95
8,United States,Boston,4676 Messerschmidt Alley,42.3389,-70.9196
9,Brazil,Campos do Jordão,38 Portage Circle,-22.73944,-45.59139
10,China,Gangba,861 Emmet Center,28.2166,88.4743
11,Indonesia,Kendalrejo,828 Northridge Road,-8.5507,114.3199
12,Russia,Staroyur’yevo,840 Bay Plaza,53.31611,40.70806
13,Philippines,Santa Fe,5980 Mariners Cove Terrace,10.2375,124.77194
14,Argentina,Retiro,7 Declaration Trail,-34.58333,-58.38333
15,Philippines,Cardona,58852 Lakewood Gardens Park,14.486,121.2289
16,Indonesia,Tegalalang,19 Jackson Park,-8.4366,115.2792
17,Tajikistan,Ishqoshim,121 Evergreen Street,36.72484,71.61331
18,China,Ganping,8283 Acker Plaza,23.98778,111.97
19,Philippines,Cabarroguis,15 Acker Point,16.58333,121.5
20,Philippines,España,8558 Eggendart Alley,12.38414,122.49901
